Name,Boroughs,Cuisine,Address,Phone Number,Website,Rating,Reviews,Price,Category,Features,Lat,Lng,Link,Neighborhood
Desi Galli,Manhattan ,Indian ,"101 Lexington Ave, New York, NY 10016",2126832292,http://www.desigalli.com/,4.0,370,1.0,Indian ,"Delivery, Takeout, 
Dine-in",40.7421254,-73.9826276,https://maps.google.com/?cid=12720087074437361205,New York
AwesomeSauce,Queens,,"40-06 Astoria Blvd S, Astoria, NY 11103",7182040275,https://www.instagram.com/awesomesauceastoria,3.9,194,1.0,,"Delivery, Takeout, 
Dine-in",40.7686913,-73.9106466,https://maps.google.com/?cid=18277685193618104648,Astoria
Mahmoud's Corner Halal Food Cart,Queens,,"
34Th Ave, Astoria, NY 11103",917-295-2281,mahmouds34thavecorner.weebly.com,4.5,1063,1.0,,"Delivery, Takeout, 
Dine-in",40.7568858,-73.9210012,https://maps.google.com/?cid=9304258340392610132,Astoria
Halal Munchies,Queens,,"25-35 Steinway St, Astoria, NY 11103",9177450585,https://eathalalmunchies.com/,4.5,722,1.0,,"No-contact delivery,
Takeout,
Dine-in",40.766934,-73.912149,https://maps.google.com/?cid=10801541469640032038,Astoria
Momo Crave,Queens,Nepalese ,"38-07 69Th St, Woodside, NY 11377",7182551714,https://momocrave.com/,4.4,765,1.0,Nepalese ,"No-contact delivery,
Takeout,
Dine-in",40.7468533,-73.8963091,https://maps.google.com/?cid=11780410401205593046,Woodside
Oba Grill,Queens,Mediterranean,"70-35 Austin St, Forest Hills, NY 11375",7185440915,http://obagrill.com/,4.1,1235,2.0,Mediterranean,"No-contact delivery,
Curbside pickup,
Dine-in",40.7206215,-73.8456826,https://maps.google.com/?cid=13891226554689620984,Forest Hills
Tallgrass Burger,Manhattan ,Hamburger,"214 1St Ave., New York, NY 10009",2122532990,http://tallgrassburgers.com/,4.5,919,1.0,Hamburger,"No-contact delivery,
Takeout,
Dine-in",40.7304761,-73.9829575,https://maps.google.com/?cid=18429246491260868108,New York
Sam's Steak & Grill,Long Island,Steak ,"58 Rockaway Ave, Valley Stream, NY 11580",5168370007,http://samsteakgrill.com/,4.3,1129,2.0,Steak ,"Delivery, Takeout, 
Dine-in",40.6639563,-73.6986582,https://maps.google.com/?cid=10898268770470945512,Valley Stream
Memo Shish Kebab ,Manhattan ,Turkish,"100 W 23Rd St, New York, NY 10011",2123812115,https://www.memoshishkebab.com/,4.0,994,1.0,Turkish,"No-contact delivery, Takeout, Dine-in",40.7428845,-73.9932328,https://maps.google.com/?cid=4923161753864356998,New York
Halalbee's,Queens,Hamburger,"182-26 Hillside Ave., Jamaica, NY 11432",7185590111,http://halalbees.com/,4.5,1361,1.0,Hamburger,"No-contact delivery, Takeout, Dine-in",40.7134136,-73.7795649,https://maps.google.com/?cid=8888760296031498475,Jamaica
Hot Peppers,Queens ,Mexican ,"78-33 Springfield Blvd, Oakland Gardens, NY 11364",3476767566,http://hotpeppersinc.com/,4.4,1261,1.0,Mexican ,"No-contact delivery, Takeout, Dine-in",40.73646,-73.7469081,https://maps.google.com/?cid=1046807889731558376,Oakland Gardens
Aba,Manhattan ,Turkish,"325 W 57Th St, New York, NY 10019",2129691782,https://www.abaturkishrestaurant.com/,4.3,1608,2.0,Turkish,"No-contact delivery,
Curbside pickup,
Dine-in",40.767473,-73.983925,https://maps.google.com/?cid=11648603571450541239,New York
Kabab King,Queens,Kebab ,"7301 37Th Rd, Jackson Heights, NY 11372",7184575857,http://kababking.com/,3.6,3337,1.0,Kebab ,"No-contact delivery, Takeout, Dine-in",40.747266,-73.892277,https://maps.google.com/?cid=1386239815096413788,Jackson Heights
Kotti Berliner Döner Kebab,Brooklyn,German ,"445 Albee Square W, Brooklyn, NY 11201",9293790453,http://www.kottidoner.com/,4.4,529,1.0,German ,"No-contact delivery, Takeout, Dine-in",40.6907958,-73.9832514,https://maps.google.com/?cid=15536379259020377370,Brooklyn
Ali's Trinidad Roti Shop,Brooklyn,Caribbean,"1267 Fulton St, Brooklyn, NY 11216",3477891835,https://alistrinbagorotishop.com/,4.4,1452,1.0,Caribbean,"No-contact delivery, Takeout, Dine-in",40.6805494,-73.950721,https://maps.google.com/?cid=6185356732180205547,Brooklyn
Darbar's Chicken & Ribs,Queens,,"12609 Liberty Ave, South Richmond Hill, NY 11419",17185294900,https://darbarsonline.com/,4.2,1117,1.0,,"No-contact delivery, Takeout, Dine-in",40.688706,-73.818136,https://maps.google.com/?cid=6316836089023217864,South Richmond Hill
Ruzana,Brooklyn,Middle Eastern ,"486 85Th St, Brooklyn, NY 11209",3476626208,eatruzana.com,4.3,830,1.0,Middle Eastern ,"No-contact delivery,
Curbside pickup,
Dine-in",40.6221721,-74.0260156,https://maps.google.com/?cid=14545708519370822482,Brooklyn
Rasa,Manhattan ,Malaysian ,"25 W 8Th St, New York, NY 10011",2122539888,https://www.rasanyc.com/,4.5,1223,2.0,Malaysian ,"Takeout, Dine-in, Delivery",40.7329711,-73.9976527,https://maps.google.com/?cid=15012526588871475680,New York
Brooklyn Halal Grill,Brooklyn,,"1148 Liberty Ave, Brooklyn, NY 11208",7182355920,http://places.singleplatform.com/brooklyn-halal-grill/menu?ref=google,4.1,573,1.0,,"Takeout, Dine-in, Delivery",40.6785742,-73.866771,https://maps.google.com/?cid=10147420877547278738,Brooklyn
Atomic Wings Queens ,Queens,Chicken wings ,"159-23 Hillside Ave., Jamaica, NY 11432",7184806642,https://www.atomicwings.com/,4.0,684,1.0,Chicken wings ,"Takout, No-contact delivery,
Dine-in",40.7081658,-73.8020077,https://maps.google.com/?cid=7611020249868660770,Jamaica
Bakewell,Queens,Bakery,"127-08 Liberty Ave, South Richmond Hill, NY 11419",7183225600,http://places.singleplatform.com/bakewell-bakery-and-restaurant/menu?ref=google,4.2,817,1.0,Bakery,"Takeout, Delivery",40.6885952,-73.8174825,https://maps.google.com/?cid=9242960753233914175,South Richmond Hill
Lasani,Manhattan ,Pakistani,"539 9Th Ave, New York, NY 10018",19179930767,http://lasanimadewithlove.com/,4.1,489,1.0,Pakistani,"Takout, No-contact delivery,
Dine-in",40.7459,-73.98793,https://maps.google.com/?cid=5541622523710308212,New York
Sagar Chinese,Queens,Chinese,"
74-19 37Th Ave, Jackson Heights, NY 11372",7185051002,https://sagarchinese.com/,3.6,1481,2.0,Chinese,"Takeout, Dine-in, Delivery",40.7491701,-73.8911988,https://maps.google.com/?cid=4618326337414480166,Jackson Heights
Sagar Chinese,Queens ,Chinese,"8747 Homelawn St, Jamaica, NY 11432",7186573333,http://sagarchinese.com/,3.6,1815,2.0,Chinese,"Takout, No-contact delivery,
Dine-in",40.711132,-73.792805,https://maps.google.com/?cid=12706880072885263699,Jamaica
BK JANI,Brooklyn,Pakistani ,"679 Grand St, Brooklyn, NY 11211",3474605110,http://bkjani.com/,4.4,1096,2.0,Pakistani ,"Takout, No-contact delivery,
Dine-in",40.702093,-73.9243349,https://maps.google.com/?cid=9252381329861288048,Brooklyn
BK Jani,Brooklyn,Pakistani,"445 Albee Square W, Brooklyn, NY 11201",9293784475,https://www.instagram.com/bkjani/,4.2,223,1.0,Pakistani,"Takout, No-contact delivery,
Dine-in",40.6909202,-73.9830833,https://maps.google.com/?cid=9914144915550099188,Brooklyn
Majnoon Cafe,Queens,Surinamese,"128-12 Liberty Ave, South Richmond Hill, NY 11419",7187381058,https://order.online/business/majnoon-cafe-228282,4.5,132,1.0,Surinamese,"Takeout, Dine-in, Delivery",40.6889642,-73.8165538,https://maps.google.com/?cid=15962019523290379648,South Richmond Hill
Twisted Mexican Grill,Queens ,Mexican,"18-33 Astoria Blvd, Astoria, NY 11102",7182781110,http://places.singleplatform.com/twisted-mexican-grill/menu?ref=google,4.4,292,1.0,Mexican,"Takeout, Dine-in, Delivery",40.7723846,-73.9265453,https://maps.google.com/?cid=9461461216227796614,Astoria
Milk And Honey Cafe,Brooklyn,Brunch,"1119 Newkirk Ave, Brooklyn, NY 11230",7185130441,https://www.milkandhoneycafeny.com/menus/,4.1,2027,2.0,Brunch ,"Takout, No-contact delivery, Dine-in",40.6343373,-73.9661268,https://maps.google.com/?cid=18362650387080526575,Brooklyn
Peri Peri Grill House,Brooklyn ,Fast Food,"235 Malcolm X Blvd, Brooklyn, NY 11233",9179668614,https://periperigrillhouse.dine.online/,4.5,422,1.0,Fast Food,"Takout, No-contact delivery, Dine-in",40.6847466,-73.9291163,https://maps.google.com/?cid=10014876938175894677,Brooklyn
Merit Kabab,Queens,Bangladeshi,"37-67 74Th Street, Flushing, NY 11372",7183965827,http://places.singleplatform.com/k-and-m-merit/menu?ref=google,3.9,833,1.0,Bangladeshi,"Takeout, Dine-in, Delivery",40.7471204,-73.8913084,https://maps.google.com/?cid=7454012728031111363,Flushing
Haat Bazaar Restaurent,Queens,Bangladeshi,"3711 73Rd St #73, Jackson Heights, NY 11372",7182058588,https://m.facebook.com/Haat-Bazar-551236838254380/,3.9,1433,1.0,Bangladeshi,"Takeout, Dine-in, Delivery",40.7484731,-73.8925367,https://maps.google.com/?cid=15189061381037471122,Jackson Heights
Zatar Cafe & Bistro,Brooklyn ,Middle Eastern,"1294 Myrtle Ave, Brooklyn, NY 11221",3476277641,https://zatar.nyc/,4.5,483,1.0,Middle Eastern,"Takout, No-contact delivery,
Dine-in",40.698,-73.9245856,https://maps.google.com/?cid=8610510047582422340,Brooklyn
The Soul Spot,Brooklyn,Soul food ,"302 Atlantic Ave, Brooklyn, NY 11201",7185969933,http://www.soulspotrestaurant.com/,4.2,1175,1.0,Soul food ,"Takout, No-contact delivery,
Dine-in",40.68835,-73.988812,https://maps.google.com/?cid=13200274708853571254,Brooklyn
Queen Sheeba,,Middle Eastern ,"317 W 141St St, New York, NY 10030",,http://places.singleplatform.com/queen-sheeba-restaurant/menu?ref=google,4.3,173,1.0,Middle Eastern ,"Takeout, Dine-in, Delivery",40.820822,-73.9447058,https://maps.google.com/?cid=10737327344855937762,New York
Falafel Tarboosh,Manhattan ,Middle Eastern ,"1701 Amsterdam Ave, New York, NY 10031",2122344434,https://smorefood.com/order-online/falafel-tarboosh-new-york-10031-rf0vxe5r?utm_source=gmb&utm_medium=website,4.5,273,1.0,Middle Eastern ,"Takout, No-contact delivery, Dine-in",40.8245968,-73.9478595,https://maps.google.com/?cid=15745668420639125318,New York
Al Masry,Brooklyn ,Buffet ,"1178 Fulton St, Brooklyn, NY 11216",347-789-5997,,4.5,82,1.0,Buffet ,"Curbside pickup,
Delivery,
Takeout,
Dine-in",40.6805545,-73.9539582,https://maps.google.com/?cid=18390708506603574456,Brooklyn
Affy's Premium Grill,Brooklyn ,Steak,"1909 Coney Island Ave, Brooklyn, NY 11230",718-576-6446,affyspremiumgrill.com,4.3,1726,2.0,Steak,"Takeout, Dine-in, Delivery",40.6108733,-73.9623149,https://maps.google.com/?cid=3033452837433320108,Brooklyn
Pepo’s Pizza,Manhattan ,Pizza,"1522 Amsterdam Ave, New York, NY 10031",9172616476,,4.3,176,1.0,Pizza,"Dine-in, Curbside pickup, No-contaact delivery ",40.8191441,-73.9522861,https://maps.google.com/?cid=12507076534242814526,New York
Les Ambassades,Manhattan ,West African restaurant,"2200 Frederick Douglass Blvd, New York, NY 10026",212-666-0078,,4.1,786,1.0,West African restaurant,"Takeout, Dine-in, Delivery",40.8060966,-73.9538151,https://maps.google.com/?cid=10023086262234397089,New York
My House Burgers and Shakes,Brooklyn ,Hamburger ,"1650 Sheepshead Bay Rd, Brooklyn, NY 11235", 718-934-0400,www.myhouseburgers.com,4.2,1148,2.0,Hamburger ,"Curbside pickup, No-contact delivery, Dine-in",40.5865846,-73.9525921,https://maps.google.com/?cid=534793482453049472,Brooklyn
Yemen Cafe,Brooklyn ,Yemeni,"176 Atlantic Ave, Brooklyn, NY 11201", 718-834-9533,yemencafe.com,4.6,3167,2.0,Yemeni,"Dine-in, Curbside pickup, No-contaact delivery ",40.6898526,-73.9936946,https://maps.google.com/?cid=534793482453049472,Brooklyn
Duzan,Queens,Mediterranean,"
2411 Steinway St, Long Island City, NY 11103",718-204-7488,www.duzannyc.com,4.3,2090,1.0,Mediterranean,"Dine-in, Takeout, No-contaact delivery ",40.7686494,-73.9108713,https://maps.google.com/?cid=16537895306901173896,Long Island City
Rocca Cafe & Lounge,Brookyln ,Mediterranean,"2712 Emmons Ave, Brooklyn, NY 11235", 718-769-2525,roccacafe.com,4.1,2941,2.0,Mediterranean,"Dine-in, Curbside pickup, Delivery ",40.5834418,-73.9408434,https://maps.google.com/?cid=16890514027160605019,Brooklyn
Kabul Kabob House,Queens,Afghan ,"42-51 Main St, Flushing, NY 11355",718-461-1919,www.kabulkababhouse.com,4.1,937,2.0,Afghan ,"Takeout, Dine-in, Delivery",40.7539537,-73.8274397,https://maps.google.com/?cid=13792355352134859716,Flushing
Asian Taste 86 Halal Food,Queens,Indonesian ,"
8610 Whitney Ave, Elmhurst, NY 11373","718-779-8686
",asiantaste86.com,4.6,354,1.0,Indonesian ,"Takeout, Dine-in, Delivery",40.741773,-73.8786293,https://maps.google.com/?cid=9972143949414158656,Elmhurst
Miraj Healthy Grill,Manhattan ,Persian ,"120 E 34Th St, New York, NY 10016",212-696-2818,www.mirajhealthygrill.com,4.4,1344,2.0,Persian ,"Dine-in, Takeout, No-contaact delivery ",40.7555796,-73.6460781,https://maps.google.com/?cid=17494020179100578282,New York
Chick In,Queens,,"23316 Hillside Ave., Queens Village, NY 11427", 718-776-3776,www.orderfrangos.com,4.2,566,1.0,,"Dine-in, Takeout, No-contact delivery 
",40.733316,-73.736233,,Queens Village
Sami's Kabab House,Queens,Afghan,"35-57 Crescent St, Astoria, NY 11106", 917-832-7165,https://samis.nyc/,4.4,1669,2.0,Afghan,"Dine-in, Takeout, No-contact delivery ",40.758408,-73.932968,https://maps.google.com/?cid=5502859836174318141,Astoria
No pork halal kitchen,Brooklyn ,,"50 4Th Ave, Brooklyn, NY 11217",718-875-9888,www.no-pork-halal-kitchen.com,4.5,1549,1.0,,Takeout,40.683321,-73.9793473,https://maps.google.com/?cid=6153398065733196929,Brooklyn
Halal Kitchen,Queens,Chinese,"7112 Grand Ave, Maspeth, NY 11378", 718-205-5360,http://orderhalalkitchen.com/ ,4.1,317,1.0,Chinese,"Dine-in, Takeout, Delivery ",40.7278143,-73.8916495,https://maps.google.com/?cid=687438515475591877,Maspeth
Top Thai 55 Carmine,Manhattan ,Thai,"55 Carmine St, New York, NY 10014", (646) 609-2272,topthaivintage.com,4.5,1323,3.0,Thai,"Takeout, Delivery ",40.623274,-74.028404,"https://www.google.com/maps/dir//40.623274,-74.02840400000002",New York
Omar's,Manhattan ,Mediterranean ,"20 E 39Th St, New York, NY 10016",212-213-0009,http://omars.nyc/,4.5,841,1.0,Mediterranean ,"Dine-in, Takeout, No-contact delivery ",40.750971,-73.98122,https://maps.google.com/?cid=12210694629136385691,New York
Omar Mediterranean Cuisine,Manhattan ,Mediterranean ,"154 E 55Th St, New York, NY 10022",212-207-8302,http://omars.nyc/,4.5,947,1.0,Mediterranean ,"Dine-in, Takeout, No-contact delivery ",40.7510451,-73.9811896,https://maps.google.com/?cid=10054392720424958774,New York
SkyIce Thai Food & Ice Cream,Brooklyn ,Thai,"
63 5Th Ave, Brooklyn, NY 11217",718-230-0910,www.skyice.net,4.6,871,1.0,Thai,"Dine-in, Takeout, No-contact delivery ",40.6807147,-73.9773899,https://maps.google.com/?cid=8569981455743503496,Brooklyn
Kabul Kabob House,Queens,Afghan,"42-51 Main St, Flushing, NY 11355",718-461-1919,www.kabulkababhouse.com,4.1,940,2.0,Afghan,"Dine-in, Takeout, Delivery ",40.7539537,-73.8274397,https://maps.google.com/?cid=13792355352134859716,Flushing
Uncle's Nick's Mediterranean Gyro Grill,Queens,Gyro,"6302 Woodhaven Blvd, Rego Park, NY 11374", 718-779-0900,www.gyrogrillny.com,4.3,801,1.0,Gyro,"Dine-in, Takeout, No-contact delivery",40.7242298,-73.8694701,https://maps.google.com/?cid=15290810399717060697,Rego Park
Nurlan,Queens,Uyghur,"43-39 Main St, Flushing, NY 11355",347-542-3324,http://ordernurlan.com/,4.4,522,1.0,Uyghur,"Dine-in, Curbside pickup, No-contact delivery",40.7516975,-73.8259798,https://maps.google.com/?cid=11333372719745208307,Flushing
Halal Xpress Chinese Kitchen,Brooklyn ,,"221 Church Ave, Brooklyn, NY 11218",718-975-3151,halalrestaurantbrooklyn.com,4.0,605,1.0,,"Dine-in, Curbside pickup, No-contact delivery",40.6436947,-73.9776688,https://maps.google.com/?cid=7423214767023653148,Brooklyn
Zyara Restaurant,Queens,Mediterranean,"25-53 Steinway St, Astoria, NY 11103","718-777-7753
",https://zyararestaurantnyc.com/,4.1,2710,2.0,Mediterranean,"Dine-in, Curbside pickup, No-contact delivery",40.7664952,-73.9124716,https://maps.google.com/?cid=13173687158129847478,Astoria
Tarim Uyghur Cuisine,Queens,Uyghur,"136-20 Roosevelt Ave, Flushing, NY 11354",646-920-0889,newworlduyghurcuisine.com,4.4,240,1.0,Uyghur,"Dine-in, Drive-through, No-contact delivery",40.7590988,-73.8296815,https://maps.google.com/?cid=11776389954672655265,Flushing
Lahori Chilli,Brooklyn ,Pakistani,"
1026 Coney Island Ave, Brooklyn, NY 11230", 718-859-1400,"lahorichilli.com
",4.1,1462,1.0,Pakistani,"Dine-in, Curbside pickup, No-contact delivery",40.6324856,-73.9670843,https://maps.google.com/?cid=6601752305583644269,Brooklyn
Holy Cow,Manhattan ,Hamburger ,"34 Canal St, New York, NY 10002",212-774-9446,http://holycow.nyc/,4.4,786,1.0,Hamburger ,"Dine-in, Takeout, No-contact delivery",40.7143638,-73.9906935,https://maps.google.com/?cid=13716496463982976085,New York
Chicky’s,Queens,Chicken,"248-43 Jericho Turnpike, Jamaica, NY 11426",718-347-3300,https://chickys.shop/,4.6,1979,1.0,Chicken,"Dine-in, Takeout, Delivery ",40.7265821,-73.7166846,https://maps.google.com/?cid=12091141458986540276,Jamaica
Emir Palace,Brooklyn ,Uzbeki,"4210 18Th Ave, Brooklyn, NY 11218",718-431-0007,http://emirpalace.com/menu/,4.4,862,2.0,Uzbeki,"Dine-in, Takeout, No-contact delivery",40.6316671,-73.9755764,https://maps.google.com/?cid=12091141458986540276,Brooklyn
Dhania,Brooklyn ,Indian ,"787 Prospect Pl, Brooklyn, NY 11216",347-627-3095,www.dhaniany.com,4.7,494,1.0,Indian ,"Dine-in, Takeout, Delivery ",40.6744463,-73.9505323,https://maps.google.com/?cid=14206562913559502985,Brooklyn
Twisted wings,Brooklyn ,,"8604 Bay Pkwy, Brooklyn, NY 11214",718-266-2433,twistedwingsny.com,4.3,408,1.0,,"Dine-in, Takeout, No-contact delivery",40.6018693,-73.9941778,https://maps.google.com/?cid=3939389168534334758,Brooklyn
Ayat,Brooklyn ,Middle Eastern,"8504 3Rd Ave, Brooklyn, NY 11209",718-831-2585,www.ayatnyc.com,4.6,1724,2.0,Middle Eastern,"Dine-in, Takeout, Delivery ",40.624164,-74.030952,https://maps.google.com/?cid=2587378088772667250,Brooklyn
Qahwah House,Brooklyn ,Coffee,"
162 Bedford Ave, Brooklyn, NY 11211",347-799-1776,qahwahhouse.com,4.8,1937,1.0,Coffee,"Dine-in, Takeout, Delivery ",40.7185755,-73.9571869,https://maps.google.com/?cid=1755042332447972718,Brooklyn
Moho Mexican Grill,Queens,Mexican,"3805 Bell Blvd, Bayside, NY 11361",718-709-9695,mohoeats.com,4.4,772,1.0,Mexican,"Dine-in, Curbside pickup, No-contact delivery",40.7663438,-73.7721818,https://maps.google.com/?cid=1027971303464586444,Bayside
Trinciti Roti Shop and Restaurant,Queens,Caribbean,"111-03 Lefferts Blvd, South Ozone Park, NY 11420",718-641-3636,trinciti.com,4.4,5101,1.0,Caribbean," Takeout, No-contact delivery",40.680374,-73.821103,https://maps.google.com/?cid=11834515000328993126,South Ozone Park
Kashkar Cafe,Brooklyn ,Uyghur ,"1141 Brighton Beach Ave, Brooklyn, NY 11235", 718-743-3832,www.kashkar-cafe.com,4.3,1022,2.0,Uyghur ,"Dine-in, Takeout, Delivery ",40.5778019,-73.9554708,https://maps.google.com/?cid=1050870110286347129,Brooklyn
Dar Al Yemen مطعم دار اليمن,Queens,Yemeni,"
131-05 Rockaway Blvd, South Ozone Park, NY 11420",347-809-4276,www.facebook.com,4.4,500,2.0,Yemeni,"Dine-in, Takeout, Delivery ",40.6750999,-73.8072059,https://maps.google.com/?cid=7675386929493501673,South Ozone Park
Apple Tree Gourmet,Brooklyn ,,"41B Newkirk Plaza, Brooklyn, NY 11226",718-484-8893,http://places.singleplatform.com/apple-tree-gourmet/menu?ref=google,4.3,173,1.0,,"Dine-in, Takeout, Delivery ",40.6350669,-73.9630345,https://maps.google.com/?cid=3067944548802525655,Brooklyn
Nneji,Queens,West African,"32-20 34Th Ave, Queens, NY 11106",917-832-7338,http://places.singleplatform.com/nneji/menu?ref=google,4.9,134,1.0,West African,"Dine-in, Curbside pickup, No-contact delivery",40.7588982,-73.9258536,https://maps.google.com/?cid=4940844165813869984,Queens
Hadramout Restaurant NYC (yemeni food),Brooklyn ,Yemeni ,"
172 Atlantic Ave, Brooklyn, NY 11201",718-222-1066,hadramoutnyc.com,4.1,1164,2.0,Yemeni ,"Dine-in, Takeout, No-contact delivery",40.68984,-73.993848,https://maps.google.com/?cid=8036029804943040515,Brooklyn
Casa La Femme,Manhattan ,Egyptian,"140 Charles St, New York, NY 10014",212-505-0005,www.casalafemmeny.com,3.8,1761,4.0,Egyptian,"Dine-in, Curbside pickup, Delivery",40.7338968,-74.0079383,https://maps.google.com/?cid=17481161107600260265,New York
Boishakhi,Queens,Bangladeshi ,"2914 36Th Ave, Long Island City, NY 11106",718-606-1242,www.boishakhirestaurantny.com,4.3,1358,1.0,Bangladeshi ,"Dine-in, Curbside pickup, Delivery",40.7569552,-73.9310007,https://maps.google.com/?cid=9806047007587203337,Long Island City
Texas Lone Star Fried Chicken & Burgers,Queens,,"113-18 Sutphin Blvd, Jamaica, NY 11435",718-323-2300,www.hhs.texas.gov,3.9,87,1.0,,"Dine-in, Takeout, Delivery ",40.6863643,-73.7942464,https://maps.google.com/?cid=15497711995317832802,Jamaica
Halal Gyro Pizza Chicken Brooklyn | Jay's Quick Bites,Brooklyn ,,"1961 Flatbush Ave, Brooklyn, NY 11234",718-975-6804,,4.3,226,1.0,,"Dine-in, Takeout, Delivery ",40.6221484,-73.9359936,https://maps.google.com/?cid=9936747089740778996,Brooklyn
Bosna Express,Queens,Eastern European,"791 Fairview Ave, Ridgewood, NY 11385",718-497-7577,http://places.singleplatform.com/bosna-express/menu?ref=google,4.5,149,1.0,Eastern European,"Dine-in, Takeout, Delivery ",40.704865,-73.9023424,https://maps.google.com/?cid=16265894320544839531,Ridgewood
Paratha Wala Inc.,Queens,Indian,"
103-09 Metropolitan Ave, Forest Hills, NY 11375",347-561-5319,www.pwalanyc.com,4.6,1181,2.0,Indian,"Dine-in, Curbside pickup, No-contact delivery",40.710447,-73.849422,https://maps.google.com/?cid=13730344831780476509,Forest Hills
Oshton Plov Center,Brooklyn ,Cafe,"3381 Shore Pkwy, Brooklyn, NY 11235",347-462-4243,http://places.singleplatform.com/oshton/menu?ref=google,3.7,179,3.0,Cafe,"Dine-in, Takeout, Delivery ",40.5850226,-73.9505246,https://maps.google.com/?cid=3284339991972862236,Brooklyn
Ćevabdžinica Sarajevo,Queens,,"37-18 34Th Ave, Long Island City, NY 11101",718-752-9528,sarajevogrill.com,4.6,644,1.0,,"Dine-in, Curbside pickup, Delivery",40.7570174,-73.921899,https://maps.google.com/?cid=10981095810753382764,Long Island City
Tropical Isle Roti Shop and Bakery,Queens,Caribbean,"118-19 Liberty Ave, Jamaica, NY 11419",718-848-4753,linktr.ee,3.8,251,1.0,Caribbean,"Dine-in, Curbside pickup, Delivery",40.68636,-73.8244157,https://maps.google.com/?cid=1343389729004408868,Jamaica
Birria LES,Manhattan ,Mexican,"127 Rivington St, New York, NY 10002", 646-707-3883,,4.5,885,1.0,Mexican,"Dine-in, Takeout, Delivery ",40.7196344,-73.9871106,https://maps.google.com/?cid=6336308092761895303,New York
Operation: falafel,Manhattan ,Mediterranean,"232 7Th Ave, New York, NY 10011",646-791-5161,eatzazu.com,4.4,427,1.0,Mediterranean,"Dine-in, Takeout, Delivery ",40.7445031,-73.9956466,https://maps.google.com/?cid=15559246476837553865,New York
